Index,Global_Name,Name,N11,V11
//인벤토리에는 index 399까지만 셋팅할 수 있음,,,,
//,**,**,,
1,Transknight,Transknight,,
6,TransKnight,TransKnight,,
7,TransKnight,TransKnight,,
8,TransKnight,TransKnight,,
9,TransKnight,TransKnight,,
11,Foema,Foema,,
16,Foema,Foema,,
17,Foema,Foema,,
18,Foema,Foema,,
19,Foema,Foema,,
21,Beast_Master,Beast_Master,,
22,Wolf_Master,Wolf_Master,,
23,Bear_Master,Bear_Master,,
24,Astaroth,Astaroth,,
25,Titan,Titan,,
26,Beast_Master,Beast_Master,,
27,Beast_Master,Beast_Master,,
28,Beast_Master,Beast_Master,,
29,Beast_Master,Beast_Master,,
31,Hunter,Hunter,,
32,Evilator,Evilator,,
36,Hunter,Hunter,,
37,Hunter,Hunter,,
38,Hunter,Hunter,,
39,Hunter,Hunter,,
41,Transknight,Transknight,,
42,Foema,Foema,,
43,Beast_Master,Beast_Master,,
44,Hunter,Hunter,,
,,,,
//,*Town_NPC*,*Town_NPC*,,
51,Ruty,Ruty,,
52,Town_Watcher,Town_Watcher,,
53,Tera,Tera,,
54,Compounder,Compounder,,
55,Ailine,Ailine,,
56,Akada,Akada,,
57,Premium_Trader_Nell,Premium_Trader_Nell,,
58,Smith,Smith,,
59,Merchant,Merchant,,
60,Guard,Guard,,
61,Elder_Foema,Elder_Foema,,
62,Elder(helmet),Elder(helmet),,
63,Arch_Master,Arch_Master,,
64,Trader_Arnold,Trader_Arnold,,
65,Shiner's_face(Type_A),Shiner's_face(Type_A),,
66,Shiner's_face(Type_B),Shiner's_face(Type_B),,
67,Shiner's_face(Type_C),Shiner's_face(Type_C),,
68,Tiny,Tiny,,
,,,,
70,Scorpion,Scorpion,,
71,Murmy,Murmy,,
72,DeathWorm,DeathWorm,,
73,Anubis,Anubis,,
74,Anubis,Anubis,,
,,,,
// 자투리 아이템(희귀 아이템 등록 예비아이템 특수 아이템) 인덱스101 ~ 200,,,,
100,Steel_Helmet,Steel_Helmet,,
101,Steel-Armor,Steel-Armor,,
102,Steel_Pants,Steel_Pants,,
103,Steel_Gloves,Steel_Gloves,,
104,Steel_Boots,Steel_Boots,,
105,Shell_Robe(helmet),Shell_Robe(helmet),,
106,Shell_Robe(Tunic),Shell_Robe(Tunic),,
107,Shell_Robe(Skirt),Shell_Robe(Skirt),,
108,Shell_Robe(Gloves),Shell_Robe(Gloves),,
109,Shell_Robe(Boots),Shell_Robe(Boots),,
110,Casting_Robe(helmet),Casting_Robe(helmet),,
111,Casting_Robe(Tunic),Casting_Robe(Tunic),,
112,Casting_Robe(Pants),Casting_Robe(Pants),,
113,Casting_Robe(Gloves),Casting_Robe(Gloves),,
114,Casting_Robe(Boots),Casting_Robe(Boots),,
115,Artisan's_Helmet,Artisan's_Helmet,,
116,Artisan's_Breastplate,Artisan's_Breastplate,,
117,Artisan's_Pants,Artisan's_Pants,,
118,Artisan's_Gloves,Artisan's_Gloves,,
119,Artisan's_Boots,Artisan's_Boots,,
120,Midas_Cap,Midas_Cap,,
121,Midas_Coat,Midas_Coat,,
