MatchCode,Global
Aberes,Aberest
Aberest_,Aberest_
AbilityMaster,Ability_Master
AdamantTaron,Adamant_Taron
Agatha,Akata
AgmoArgos,AgmoArgos
AgmoCabuncle,AgmoCarbunkle
AgmoCrill,AgmoCrill
AgmoCyclops,AgmoCyclops
AgmoElf,AgmoElf
AgmoFroggy,AgmoFroggy
AgmoGhoul,AgmoGhoul
AgmoGolem,AgmoGolem
AgmoGremlin,AgmoGremlin
AgmoHydra,AgmoHydra
AgmoSkelton,AgmoSkelton
AgmoTaron,AgmoTaron
AgmoTroll,AgmoTroll
AgmoTrollChief,AgmoTrollChief
AgmoWorm,AgmoWorm
Aileen,Ailine
Aki,Aki
Alchemy_Jeffi,Jeffi
Amon_Chief,Amon_Chief
Amon_Soldier,Amon_Soldier
Amon_Warrior,Amon_Warrior
Ancient_Ape,Ancient_Ape
Ancient_Ent,Ancient_Ent
AncientArgo,AncientArgo
AncientCaban,AncientCaban
AncientGrem,AncientGremlin
Angela,Angela
Ape,Ape
Ape@,Ape@
Ape_,Ape_
Ape__,Ape__
ApeBleg,ApeBleg
ArcherCyclop,ArcherCyclop
ArcherCyclop_,ArcherCyclop_
ArcherCyclop__,ArcherCyclop__
ArcherCyclop___,ArcherCyclop___
ArcherCyclops,ArcherCyclops
ArcherOrc,ArcherOrc
ArcherOrc_,ArcherOrc_
ArcherTaron,ArcherTaron
ArcherTaron_,ArcherTaron_
ArchiMaster,ArchiMaster
ArchLich,ArchLich
ArcOrcTrooper,ArcOrcTrooper
Argos,Argos
Argos__,Argos__
Argos___,Argos___
Argos____,Argos____
ArgosWanderer,ArgosWanderer
Arnod,Arnod
Arnod_,Arnod_
Arnold,Arnold
Arnold_,Arnold_
AssassinTaron,AssassinTaron
AssassinTaron_,AssassinTaron_
Balmers,Balmers
Balmus,Balmus
BanditsTaron,BanditsTaron
BanditsTaron_,BanditsTaron_
BanditsTaron__,BanditsTaron__
BarebackHorse,BarebackHorse
BarebackHorse_,BarebackHorse_
Batorero,Batorero
Batorero@,Batorero@
Batorero_,Batorero_
Batorero__,Batorero__
Bazilisk,Basilisk
BeastMaster,BeastMaster
Berserker_Ref,Berserker_Ref
Berserker_Titan,Berserker_Titan
BerserkerElf,BerserkerElf
BerserkerElf_,BerserkerElf_
BerserkerElf__,BerserkerElf__
BlackDragon,BlackDragon
BlackOracle,BlackOracle
BloodGriph,BloodGriph
BlueOracle,BlueOracle
Boar,Boar
Boar_,Boar_
BolldyCyclops,BloodyCyclops
BolldyCyclops_,BloodyCyclops_
BoneDragon,BoneDragon
BoneDragon_,BoneDragon_
BowOrc,Orc_Archer
Bruce,Bruce
BruHydra,BruHydra
BruHydra_,BruHydra_
BruHydra__,BruHydra__
Cabuncle,Carbunkle
Cabuncle_,Carbuncke_
Cabuncle__,Carbunkle__
Cabuncle_High,Carbunkle_High
CabuncleOrder,CarbunkleOrder
CargoGuard,Cargo_Guard
CargoGuard_,Cargo_Guard_
Cepra,Kephra
CepraGuard,KephraGuard
CepraGuard@,Kephra_Guard@
ChaosCyclops,ChaosCyclops
ChaosCyclops_,ChaosCyclops_
