Korean	MatchCode
아버레스트	Aberes
아버레스트_	Aberest_
어빌러티마스터	AbilityMaster
아다만트타론	AdamantTaron
아카다	Agatha
아그모아르고스	AgmoArgos
아그모카벙클	AgmoCabuncle
아그모크릴	AgmoCrill
아그모싸이콥	AgmoCyclops
아그모엘프	AgmoElf
아그모프로기	AgmoFroggy
아그모구울	AgmoGhoul
아그모고렘	AgmoGolem
아그모그렘린	AgmoGremlin
아그모히드라	AgmoHydra
아그모스켈톤	AgmoSkelton
아그모타론	AgmoTaron
아그모트롤	AgmoTroll
아그모트롤치프	AgmoTrollChief
아그모퍼블웜	AgmoWorm
에일린	Aileen
물약상인아키	Aki
연금술사제피	Alchemy_Jeffi
아몬_대장	Amon_Chief
아몬_병사	Amon_Soldier
아몬_전사	Amon_Warrior
고대의_에이프	Ancient_Ape
고대의_엔트	Ancient_Ent
에이션트아르고	AncientArgo
에이션트카벙클	AncientCaban
에이션트그렘린	AncientGrem
안젤라	Angela
에이프	Ape
에이프@	Ape@
에이프_	Ape_
에이프__	Ape__
에이프블레그	ApeBleg
아쳐싸이클롭	ArcherCyclop
아쳐싸이클롭_	ArcherCyclop_
아쳐싸이클롭__	ArcherCyclop__
아쳐싸이클롭___	ArcherCyclop___
아쳐싸이클롭스	ArcherCyclops
아쳐오크	ArcherOrc
아쳐오크_	ArcherOrc_
타론아쳐	ArcherTaron
타론아쳐_	ArcherTaron_
아치마스터	ArchiMaster
아크리치	ArchLich
아쳐오크트루퍼	ArcOrcTrooper
아르고스	Argos
아르고스__	Argos__
아르고스___	Argos___
아르고스____	Argos____
아르고스원더러	ArgosWanderer
방어구상아노드	Arnod
상인아노드_	Arnod_
대장간아놀드	Arnold
아놀드	Arnold_
타론어쎄신	AssassinTaron
타론어쎄신_	AssassinTaron_
발머스	Balmers
조합원발머스	Balmus
벤디츠타론	BanditsTaron
벤디츠타론_	BanditsTaron_
벤디츠타론__	BanditsTaron__
베어백호스	BarebackHorse
베어백호스_	BarebackHorse_
배토레로	Batorero
배토레로@	Batorero@
배토레로_	Batorero_
배토레로__	Batorero__
바질리스크	Bazilisk
비스트마스터	BeastMaster
버서커_레프	Berserker_Ref
버서커_티탄	Berserker_Titan
버서커엘프	BerserkerElf
버서커엘프_	BerserkerElf_
버서커엘프__	BerserkerElf__
블랙드래곤	BlackDragon
블랙오라클	BlackOracle
블러디그리프	BloodGriph
블루오라클	BlueOracle
멧돼지	Boar
보어	Boar_
블러디싸이클롭	BolldyCyclops
블러디싸이클롭_	BolldyCyclops_
본드래곤	BoneDragon
본드래곤_	BoneDragon_
보우오크	BowOrc
조합원브루스	Bruce
브루히드라	BruHydra
브루히드라_	BruHydra_
브루히드라__	BruHydra__
카벙클	Cabuncle
카벙클_	Cabuncle_
카벙클__	Cabuncle__
카벙클_하이어@	Cabuncle_High
카벙클오더	CabuncleOrder
창고가드	CargoGuard
창고지기	CargoGuard_
케프라	Cepra
케프라가드	CepraGuard
케프라가드@	CepraGuard@
카오스싸이롭	ChaosCyclops
카오스싸이롭_	ChaosCyclops_
카오스싸이롭__	ChaosCyclops__
카오스몰록	ChaosMoloch
카오스오크	ChaosOrc
카오스오크_	ChaosOrc_
카오스오크__	ChaosOrc__
카오스트롤	ChaosTroll
카오스트롤_	ChaosTroll_
카오스트롤__	ChaosTroll__
카오스트롤___	ChaosTroll___
오크가드대장_	CheifOrc_
크릴대장	ChiefCrill
크릴대장_	ChiefCrill_
컴뱃싸이클롭	CombatCyclops
컴파운더	Compounder
콘도르	Condor
코퍼드래곤	CopperDragon
크릴	Crill
크릴_	Crill_
크림슨위도우	CrimsonWidow
크림슨위도우@	CrimsonWidow@
크루엘싸이클롭	CruelCyclops
크루엘싸이클롭_	CruelCyclops_
크루엘쟈쿰	CruelZakum
크루엘쟈쿰_	CruelZakum_
저주받은_레인저	Cursed_Ranger
저주받은_샤먼	Cursed_Shaman
저주받은_소서러	Cursed_Sorcerer
저주받은_템플러	Cursed_Templar
저주받은_베리드	Cursed_Verid
싸이클롭	Cyclops
싸이클롭_	Cyclops_
싸이클롭__	Cyclops__
싸이클롭___	Cyclops___
싸이클롭____	Cyclops____
다크	Dark
다크엘프	DarkElf
다크엘프@	DarkElf@
다크엘프_	DarkElf_
다크엘프업저러	DarkElfAbjurer
다크엘프업저러_	DarkElfAbjurer_
다크엘프아쳐	DarkElfArcher
다크엘프나이트	DarkElfKnight
다크엘프나이트_	DarkElfKnight_
다크엘프위치	DarkElfWitch
다크엘프위치_	DarkElfWitch_
다크엘프위치__	DarkElfWitch__
다크엘프마스터	DarkElgMaster
다크나이트	DarkKnight
다크나이트_	DarkKnight_
다크나이트__	DarkKnight__
다크나이트___	DarkKnight___
데쓰나이트킹@	DarkKnightKing@
다크메이지	DarkMage
다크_섀도우	DarkShadow
다크스톤고렘	DarkStonGolem
다크스톤고렘_	DarkStonGolem_
다크스톤고렘__	DarkStonGolem__
데쓰나이트	DeathKnight
데쓰나이트@	DeathKnight@
데쓰나이트_	DeathKnight_
데쓰나이트__	DeathKnight__
데모고곤	DemoGorgon
데몬로드	DemonLord
데몬로드_	DemonLord_
